,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,status,age,sex,survived
124,124,124,124,124,124,124,124,124,124,124,124,124,124,first,adult,male,no
125,125,125,125,125,125,125,125,125,125,125,125,125,125,first,adult,male,no
126,126,126,126,126,126,126,126,126,126,126,126,126,126,first,adult,male,no
127,127,127,127,127,127,127,127,127,127,127,127,127,127,first,adult,male,no
128,128,128,128,128,128,128,128,128,128,128,128,128,128,first,adult,male,no
129,129,129,129,129,129,129,129,129,129,129,129,129,129,first,adult,male,no
130,130,130,130,130,130,130,130,130,130,130,130,130,130,first,adult,male,no
131,131,131,131,131,131,131,131,131,131,131,131,131,131,first,adult,male,no
132,132,132,132,132,132,132,132,132,132,132,132,132,132,first,adult,male,no
133,133,133,133,133,133,133,133,133,133,133,133,133,133,first,adult,male,no
134,134,134,134,134,134,134,134,134,134,134,134,134,134,first,adult,male,no
135,135,135,135,135,135,135,135,135,135,135,135,135,135,first,adult,male,no
136,136,136,136,136,136,136,136,136,136,136,136,136,136,first,adult,male,no
137,137,137,137,137,137,137,137,137,137,137,137,137,137,first,adult,male,no
138,138,138,138,138,138,138,138,138,138,138,138,138,138,first,adult,male,no
139,139,139,139,139,139,139,139,139,139,139,139,139,139,first,adult,male,no
140,140,140,140,140,140,140,140,140,140,140,140,140,140,first,adult,male,no
141,141,141,141,141,141,141,141,141,141,141,141,141,141,first,adult,male,no
142,142,142,142,142,142,142,142,142,142,142,142,142,142,first,adult,male,no
143,143,143,143,143,143,143,143,143,143,143,143,143,143,first,adult,male,no
144,144,144,144,144,144,144,144,144,144,144,144,144,144,first,adult,male,no
145,145,145,145,145,145,145,145,145,145,145,145,145,145,first,adult,male,no
146,146,146,146,146,146,146,146,146,146,146,146,146,146,first,adult,male,no
147,147,147,147,147,147,147,147,147,147,147,147,147,147,first,adult,male,no
148,148,148,148,148,148,148,148,148,148,148,148,148,148,first,adult,male,no
149,149,149,149,149,149,149,149,149,149,149,149,149,149,first,adult,male,no
150,150,150,150,150,150,150,150,150,150,150,150,150,150,first,adult,male,no
151,151,151,151,151,151,151,151,151,151,151,151,151,151,first,adult,male,no
152,152,152,152,152,152,152,152,152,152,152,152,152,152,first,adult,male,no
153,153,153,153,153,153,153,153,153,153,153,153,153,153,first,adult,male,no
154,154,154,154,154,154,154,154,154,154,154,154,154,154,first,adult,male,no
155,155,155,155,155,155,155,155,155,155,155,155,155,155,first,adult,male,no
156,156,156,156,156,156,156,156,156,156,156,156,156,156,first,adult,male,no
157,157,157,157,157,157,157,157,157,157,157,157,157,157,first,adult,male,no
158,158,158,158,158,158,158,158,158,158,158,158,158,158,first,adult,male,no
159,159,159,159,159,159,159,159,159,159,159,159,159,159,first,adult,male,no
160,160,160,160,160,160,160,160,160,160,160,160,160,160,first,adult,male,no
161,161,161,161,161,161,161,161,161,161,161,161,161,161,first,adult,male,no
162,162,162,162,162,162,162,162,162,162,162,162,162,162,first,adult,male,no
163,163,163,163,163,163,163,163,163,163,163,163,163,163,first,adult,male,no
164,164,164,164,164,164,164,164,164,164,164,164,164,164,first,adult,male,no
165,165,165,165,165,165,165,165,165,165,165,165,165,165,first,adult,male,no
166,166,166,166,166,166,166,166,166,166,166,166,166,166,first,adult,male,no
167,167,167,167,167,167,167,167,167,167,167,167,167,167,first,adult,male,no
168,168,168,168,168,168,168,168,168,168,168,168,168,168,first,adult,male,no
169,169,169,169,169,169,169,169,169,169,169,169,169,169,first,adult,male,no
170,170,170,170,170,170,170,170,170,170,170,170,170,170,first,adult,male,no
171,171,171,171,171,171,171,171,171,171,171,171,171,171,first,adult,male,no
172,172,172,172,172,172,172,172,172,172,172,172,172,172,first,adult,male,no
173,173,173,173,173,173,173,173,173,173,173,173,173,173,first,adult,male,no
174,174,174,174,174,174,174,174,174,174,174,174,174,174,first,adult,male,no
175,175,175,175,175,175,175,175,175,175,175,175,175,175,first,adult,female,yes
176,176,176,176,176,176,176,176,176,176,176,176,176,176,first,adult,female,yes
177,177,177,177,177,177,177,177,177,177,177,177,177,177,first,adult,female,yes
178,178,178,178,178,178,178,178,178,178,178,178,178,178,first,adult,female,yes
179,179,179,179,179,179,179,179,179,179,179,179,179,179,first,adult,female,yes
180,180,180,180,180,180,180,180,180,180,180,180,180,180,first,adult,female,yes
181,181,181,181,181,181,181,181,181,181,181,181,181,181,first,adult,female,yes
182,182,182,182,182,182,182,182,182,182,182,182,182,182,first,adult,female,yes
183,183,183,183,183,183,183,183,183,183,183,183,183,183,first,adult,female,yes
184,184,184,184,184,184,184,184,184,184,184,184,184,184,first,adult,female,yes
185,185,185,185,185,185,185,185,185,185,185,185,185,185,first,adult,female,yes
186,186,186,186,186,186,186,186,186,186,186,186,186,186,first,adult,female,yes
187,187,187,187,187,187,187,187,187,187,187,187,187,187,first,adult,female,yes
188,188,188,188,188,188,188,188,188,188,188,188,188,188,first,adult,female,yes
189,189,189,189,189,189,189,189,189,189,189,189,189,189,first,adult,female,yes
190,190,190,190,190,190,190,190,190,190,190,190,190,190,first,adult,female,yes
191,191,191,191,191,191,191,191,191,191,191,191,191,191,first,adult,female,yes
192,192,192,192,192,192,192,192,192,192,192,192,192,192,first,adult,female,yes
193,193,193,193,193,193,193,193,193,193,193,193,193,193,first,adult,female,yes
194,194,194,194,194,194,194,194,194,194,194,194,194,194,first,adult,female,yes
195,195,195,195,195,195,195,195,195,195,195,195,195,195,first,adult,female,yes
196,196,196,196,196,196,196,196,196,196,196,196,196,196,first,adult,female,yes
197,197,197,197,197,197,197,197,197,197,197,197,197,197,first,adult,female,yes
198,198,198,198,198,198,198,198,198,198,198,198,198,198,first,adult,female,yes
199,199,199,199,199,199,199,199,199,199,199,199,199,199,first,adult,female,yes
200,200,200,200,200,200,200,200,200,200,200,200,200,200,first,adult,female,yes
201,201,201,201,201,201,201,201,201,201,201,201,201,201,first,adult,female,yes
202,202,202,202,202,202,202,202,202,202,202,202,202,202,first,adult,female,yes
203,203,203,203,203,203,203,203,203,203,203,203,203,203,first,adult,female,yes
204,204,204,204,204,204,204,204,204,204,204,204,204,204,first,adult,female,yes
205,205,205,205,205,205,205,205,205,205,205,205,205,205,first,adult,female,yes
206,206,206,206,206,206,206,206,206,206,206,206,206,206,first,adult,female,yes
207,207,207,207,207,207,207,207,207,207,207,207,207,207,first,adult,female,yes
208,208,208,208,208,208,208,208,208,208,208,208,208,208,first,adult,female,yes
209,209,209,209,209,209,209,209,209,209,209,209,209,209,first,adult,female,yes
210,210,210,210,210,210,210,210,210,210,210,210,210,210,first,adult,female,yes
211,211,211,211,211,211,211,211,211,211,211,211,211,211,first,adult,female,yes
212,212,212,212,212,212,212,212,212,212,212,212,212,212,first,adult,female,yes
213,213,213,213,213,213,213,213,213,213,213,213,213,213,first,adult,female,yes
214,214,214,214,214,214,214,214,214,214,214,214,214,214,first,adult,female,yes
215,215,215,215,215,215,215,215,215,215,215,215,215,215,first,adult,female,yes
216,216,216,216,216,216,216,216,216,216,216,216,216,216,first,adult,female,yes
217,217,217,217,217,217,217,217,217,217,217,217,217,217,first,adult,female,yes
218,218,218,218,218,218,218,218,218,218,218,218,218,218,first,adult,female,yes
219,219,219,219,219,219,219,219,219,219,219,219,219,219,first,adult,female,yes
220,220,220,220,220,220,220,220,220,220,220,220,220,220,first,adult,female,yes
221,221,221,221,221,221,221,221,221,221,221,221,221,221,first,adult,female,yes
222,222,222,222,222,222,222,222,222,222,222,222,222,222,first,adult,female,yes
223,223,223,223,223,223,223,223,223,223,223,223,223,223,first,adult,female,yes
224,224,224,224,224,224,224,224,224,224,224,224,224,224,first,adult,female,yes
225,225,225,225,225,225,225,225,225,225,225,225,225,225,first,adult,female,yes
226,226,226,226,226,226,226,226,226,226,226,226,226,226,first,adult,female,yes
227,227,227,227,227,227,227,227,227,227,227,227,227,227,first,adult,female,yes
228,228,228,228,228,228,228,228,228,228,228,228,228,228,first,adult,female,yes
229,229,229,229,229,229,229,229,229,229,229,229,229,229,first,adult,female,yes
230,230,230,230,230,230,230,230,230,230,230,230,230,230,first,adult,female,yes
231,231,231,231,231,231,231,231,231,231,231,231,231,231,first,adult,female,yes
232,232,232,232,232,232,232,232,232,232,232,232,232,232,first,adult,female,yes
233,233,233,233,233,233,233,233,233,233,233,233,233,233,first,adult,female,yes
234,234,234,234,234,234,234,234,234,234,234,234,234,234,first,adult,female,yes
235,235,235,235,235,235,235,235,235,235,235,235,235,235,first,adult,female,yes
236,236,236,236,236,236,236,236,236,236,236,236,236,236,first,adult,female,yes
237,237,237,237,237,237,237,237,237,237,237,237,237,237,first,adult,female,yes
238,238,238,238,238,238,238,238,238,238,238,238,238,238,first,adult,female,yes
239,239,239,239,239,239,239,239,239,239,239,239,239,239,first,adult,female,yes
240,240,240,240,240,240,240,240,240,240,240,240,240,240,first,adult,female,yes
241,241,241,241,241,241,241,241,241,241,241,241,241,241,first,adult,female,yes
242,242,242,242,242,242,242,242,242,242,242,242,242,242,first,adult,female,yes
243,243,243,243,243,243,243,243,243,243,243,243,243,243,first,adult,female,yes
244,244,244,244,244,244,244,244,244,244,244,244,244,244,first,adult,female,yes
245,245,245,245,245,245,245,245,245,245,245,245,245,245,first,adult,female,yes
246,246,246,246,246,246,246,246,246,246,246,246,246,246,first,adult,female,yes
247,247,247,247,247,247,247,247,247,247,247,247,247,247,first,adult,female,yes
248,248,248,248,248,248,248,248,248,248,248,248,248,248,first,adult,female,yes
249,249,249,249,249,249,249,249,249,249,249,249,249,249,first,adult,female,yes
250,250,250,250,250,250,250,250,250,250,250,250,250,250,first,adult,female,yes
251,251,251,251,251,251,251,251,251,251,251,251,251,251,first,adult,female,yes
252,252,252,252,252,252,252,252,252,252,252,252,252,252,first,adult,female,yes
253,253,253,253,253,253,253,253,253,253,253,253,253,253,first,adult,female,yes
254,254,254,254,254,254,254,254,254,254,254,254,254,254,first,adult,female,yes
255,255,255,255,255,255,255,255,255,255,255,255,255,255,first,adult,female,yes
256,256,256,256,256,256,256,256,256,256,256,256,256,256,first,adult,female,yes
257,257,257,257,257,257,257,257,257,257,257,257,257,257,first,adult,female,yes
258,258,258,258,258,258,258,258,258,258,258,258,258,258,first,adult,female,yes
259,259,259,259,259,259,259,259,259,259,259,259,259,259,first,adult,female,yes
260,260,260,260,260,260,260,260,260,260,260,260,260,260,first,adult,female,yes
261,261,261,261,261,261,261,261,261,261,261,261,261,261,first,adult,female,yes
262,262,262,262,262,262,262,262,262,262,262,262,262,262,first,adult,female,yes
263,263,263,263,263,263,263,263,263,263,263,263,263,263,first,adult,female,yes
264,264,264,264,264,264,264,264,264,264,264,264,264,264,first,adult,female,yes
265,265,265,265,265,265,265,265,265,265,265,265,265,265,first,adult,female,yes
266,266,266,266,266,266,266,266,266,266,266,266,266,266,first,adult,female,yes
267,267,267,267,267,267,267,267,267,267,267,267,267,267,first,adult,female,yes
268,268,268,268,268,268,268,268,268,268,268,268,268,268,first,adult,female,yes
269,269,269,269,269,269,269,269,269,269,269,269,269,269,first,adult,female,yes
270,270,270,270,270,270,270,270,270,270,270,270,270,270,first,adult,female,yes
271,271,271,271,271,271,271,271,271,271,271,271,271,271,first,adult,female,yes
272,272,272,272,272,272,272,272,272,272,272,272,272,272,first,adult,female,yes
273,273,273,273,273,273,273,273,273,273,273,273,273,273,first,adult,female,yes
274,274,274,274,274,274,274,274,274,274,274,274,274,274,first,adult,female,yes
275,275,275,275,275,275,275,275,275,275,275,275,275,275,first,adult,female,yes
276,276,276,276,276,276,276,276,276,276,276,276,276,276,first,adult,female,yes
277,277,277,277,277,277,277,277,277,277,277,277,277,277,first,adult,female,yes
278,278,278,278,278,278,278,278,278,278,278,278,278,278,first,adult,female,yes
279,279,279,279,279,279,279,279,279,279,279,279,279,279,first,adult,female,yes
280,280,280,280,280,280,280,280,280,280,280,280,280,280,first,adult,female,yes
281,281,281,281,281,281,281,281,281,281,281,281,281,281,first,adult,female,yes
282,282,282,282,282,282,282,282,282,282,282,282,282,282,first,adult,female,yes
283,283,283,283,283,283,283,283,283,283,283,283,283,283,first,adult,female,yes
284,284,284,284,284,284,284,284,284,284,284,284,284,284,first,adult,female,yes
285,285,285,285,285,285,285,285,285,285,285,285,285,285,first,adult,female,yes
286,286,286,286,286,286,286,286,286,286,286,286,286,286,first,adult,female,yes
287,287,287,287,287,287,287,287,287,287,287,287,287,287,first,adult,female,yes
288,288,288,288,288,288,288,288,288,288,288,288,288,288,first,adult,female,yes
289,289,289,289,289,289,289,289,289,289,289,289,289,289,first,adult,female,yes
290,290,290,290,290,290,290,290,290,290,290,290,290,290,first,adult,female,yes
291,291,291,291,291,291,291,291,291,291,291,291,291,291,first,adult,female,yes
292,292,292,292,292,292,292,292,292,292,292,292,292,292,first,adult,female,yes
293,293,293,293,293,293,293,293,293,293,293,293,293,293,first,adult,female,yes
294,294,294,294,294,294,294,294,294,294,294,294,294,294,first,adult,female,yes
295,295,295,295,295,295,295,295,295,295,295,295,295,295,first,adult,female,yes
296,296,296,296,296,296,296,296,296,296,296,296,296,296,first,adult,female,yes
297,297,297,297,297,297,297,297,297,297,297,297,297,297,first,adult,female,yes
298,298,298,298,298,298,298,298,298,298,298,298,298,298,first,adult,female,yes
299,299,299,299,299,299,299,299,299,299,299,299,299,299,first,adult,female,yes
300,300,300,300,300,300,300,300,300,300,300,300,300,300,first,adult,female,yes
301,301,301,301,301,301,301,301,301,301,301,301,301,301,first,adult,female,yes
302,302,302,302,302,302,302,302,302,302,302,302,302,302,first,adult,female,yes
303,303,303,303,303,303,303,303,303,303,303,303,303,303,first,adult,female,yes
304,304,304,304,304,304,304,304,304,304,304,304,304,304,first,adult,female,yes
305,305,305,305,305,305,305,305,305,305,305,305,305,305,first,adult,female,yes
306,306,306,306,306,306,306,306,306,306,306,306,306,306,first,adult,female,yes
307,307,307,307,307,307,307,307,307,307,307,307,307,307,first,adult,female,yes
308,308,308,308,308,308,308,308,308,308,308,308,308,308,first,adult,female,yes
309,309,309,309,309,309,309,309,309,309,309,309,309,309,first,adult,female,yes
310,310,310,310,310,310,310,310,310,310,310,310,310,310,first,adult,female,yes
311,311,311,311,311,311,311,311,311,311,311,311,311,311,first,adult,female,yes
312,312,312,312,312,312,312,312,312,312,312,312,312,312,first,adult,female,yes
313,313,313,313,313,313,313,313,313,313,313,313,313,313,first,adult,female,yes
314,314,314,314,314,314,314,314,314,314,314,314,314,314,first,adult,female,yes
315,315,315,315,315,315,315,315,315,315,315,315,315,315,first,adult,female,no
316,316,316,316,316,316,316,316,316,316,316,316,316,316,first,adult,female,no
317,317,317,317,317,317,317,317,317,317,317,317,317,317,first,adult,female,no
318,318,318,318,318,318,318,318,318,318,318,318,318,318,first,adult,female,no
319,319,319,319,319,319,319,319,319,319,319,319,319,319,first,child,male,yes
320,320,320,320,320,320,320,320,320,320,320,320,320,320,first,child,male,yes
321,321,321,321,321,321,321,321,321,321,321,321,321,321,first,child,male,yes
322,322,322,322,322,322,322,322,322,322,322,322,322,322,first,child,male,yes
323,323,323,323,323,323,323,323,323,323,323,323,323,323,first,child,male,yes
324,324,324,324,324,324,324,324,324,324,324,324,324,324,first,child,female,yes
325,325,325,325,325,325,325,325,325,325,325,325,325,325,second,adult,male,yes
326,326,326,326,326,326,326,326,326,326,326,326,326,326,second,adult,male,yes
327,327,327,327,327,327,327,327,327,327,327,327,327,327,second,adult,male,yes
328,328,328,328,328,328,328,328,328,328,328,328,328,328,second,adult,male,yes
329,329,329,329,329,329,329,329,329,329,329,329,329,329,second,adult,male,yes
330,330,330,330,330,330,330,330,330,330,330,330,330,330,second,adult,male,yes
331,331,331,331,331,331,331,331,331,331,331,331,331,331,second,adult,male,yes
332,332,332,332,332,332,332,332,332,332,332,332,332,332,second,adult,male,yes
333,333,333,333,333,333,333,333,333,333,333,333,333,333,second,adult,male,yes
334,334,334,334,334,334,334,334,334,334,334,334,334,334,second,adult,male,yes
335,335,335,335,335,335,335,335,335,335,335,335,335,335,second,adult,male,yes
336,336,336,336,336,336,336,336,336,336,336,336,336,336,second,adult,male,yes
337,337,337,337,337,337,337,337,337,337,337,337,337,337,second,adult,male,yes
338,338,338,338,338,338,338,338,338,338,338,338,338,338,second,adult,male,yes
339,339,339,339,339,339,339,339,339,339,339,339,339,339,second,adult,male,no
340,340,340,340,340,340,340,340,340,340,340,340,340,340,second,adult,male,no
341,341,341,341,341,341,341,341,341,341,341,341,341,341,second,adult,male,no
342,342,342,342,342,342,342,342,342,342,342,342,342,342,second,adult,male,no
343,343,343,343,343,343,343,343,343,343,343,343,343,343,second,adult,male,no
344,344,344,344,344,344,344,344,344,344,344,344,344,344,second,adult,male,no
345,345,345,345,345,345,345,345,345,345,345,345,345,345,second,adult,male,no
346,346,346,346,346,346,346,346,346,346,346,346,346,346,second,adult,male,no
347,347,347,347,347,347,347,347,347,347,347,347,347,347,second,adult,male,no
348,348,348,348,348,348,348,348,348,348,348,348,348,348,second,adult,male,no
349,349,349,349,349,349,349,349,349,349,349,349,349,349,second,adult,male,no
350,350,350,350,350,350,350,350,350,350,350,350,350,350,second,adult,male,no
351,351,351,351,351,351,351,351,351,351,351,351,351,351,second,adult,male,no
352,352,352,352,352,352,352,352,352,352,352,352,352,352,second,adult,male,no
353,353,353,353,353,353,353,353,353,353,353,353,353,353,second,adult,male,no
354,354,354,354,354,354,354,354,354,354,354,354,354,354,second,adult,male,no
355,355,355,355,355,355,355,355,355,355,355,355,355,355,second,adult,male,no
356,356,356,356,356,356,356,356,356,356,356,356,356,356,second,adult,male,no
357,357,357,357,357,357,357,357,357,357,357,357,357,357,second,adult,male,no
358,358,358,358,358,358,358,358,358,358,358,358,358,358,second,adult,male,no
359,359,359,359,359,359,359,359,359,359,359,359,359,359,second,adult,male,no
360,360,360,360,360,360,360,360,360,360,360,360,360,360,second,adult,male,no
361,361,361,361,361,361,361,361,361,361,361,361,361,361,second,adult,male,no
362,362,362,362,362,362,362,362,362,362,362,362,362,362,second,adult,male,no
363,363,363,363,363,363,363,363,363,363,363,363,363,363,second,adult,male,no
